"lang"
{
	"Language"		"English"
	"Tokens"
	{		

"addon_game_name"			"World Of Dota"
"DOTA_GOODGUYS"				"Monk"
"DOTA_BADGUYS"				"Rogue"
"DOTA_CUSTOM1"				"Paladin"
"DOTA_CUSTOM2"				"Druid"
"DOTA_CUSTOM3"				"Shaman"
"DOTA_CUSTOM4"				"Hunter"
"DOTA_CUSTOM5"				"Warrior"
"DOTA_CUSTOM6"				"Mage"
"name_relax"				"Arena of Beginning"
"name_arena_1"				"Arena of Healing"
"name_arena_2"				"Arena of Life"
"name_arena_3"				"Arena of Pain"
"name_arena_4"				"Arena of Limit"
"name_arena_5"				"Arena of Insight"
"name_arena_6"				"Arena of Miracle"
"name_arena_7"				"Arena of Death"
"random_button"				"Random Hero. <br> Gold Bonus: 100"
"flayoutstr"				"Str"
"flayoutagi"				"Agi"
"flayoutint"				"Int"
"flayoutlevel"				"Lvl"
"flayoutnetworths"			"Net Worth"
"flayoutkills"				"K"
"flayoutdeaths"				"D"
"flayoutassists"			"A"
"flayoutitems"				"Items"
"flayoutraiting"			"Rating"
"flayoutcoins"				"Coins"
"wodacoins"					"Coins"
"wodacrystals"				"Crystals"
"wodaplus"					"WODA Plus"
"shopprofile"				"PROFILE"
"shopheroes"				"HEROES"
"shopshop"					"SHOP"
"hero_days_365"				"FOREVER"
"shop_bought"				"Purchased"
"shop_button_subscribe"		"Sets"
"shop_button_pets"			"Pets"
"shop_button_currency"		"Buy Coins"
"shop_button_inventory"		"INVENTORY"
"shop_button_tips"			"TIPS"
"shop_button_five"			"High Five"
"shop_button_bg"			"Profile Background"
"shop_button_teleports"		"Teleports"
"shop_activate"				"Activate"
"shop_deactivate"			"Deactivate"
"ItemsCollectionName"		"Item Collection"
"your_gameid"				"ID:"
"leave"						"Leave"
"shop_button_emblems"		"Effects"
"games_count"				"Games played: "
"LeaderboardNameLabel"		"LEADERBOARD"
"Leaderboard_rank_col"		"RANK"
"Leaderboard_player_col"	"PLAYER"
"Leaderboard_rating_col"	"RATING"
"woda_plus_endgame_info"	"Subscriber WODA Plus"
"ld_link_1"					"Shop"
"ld_link_2"					"Knowledge Base"
"ld_link_3"					"Discord"


"Leaderboard_hero_solo"		"Hero Solo"
		"Leaderboard_solo"			"Solo"
		"Leaderboard_duo"			"Duo"
		"Leaderboard_trio"			"Trio"

"tournament_gamemode_info"		"Tournament Mode"
"tournament_select_bans"		"Number of Bans per Player?"
"tournament_select_random_hero"	"Random Heroes?"
"tournament_ban_in_game"		"Number of Bans per Player:"
"tournament_is_random_mode"		"Random Heroes."
"tournament_is_tournament_game_mode"	"Tournament Mode."

"rune_top_button_2"						"Runes"
"CustomEndScreenStats"					"Damage Statistics"
"button_woda_plus"						"WODA Plus"
"woda_tab_1"							"WODA PLUS"
"woda_tab_2"							"STRENGTH"
"woda_tab_3"							"AGILITY"
"woda_tab_4"							"INTELLIGENCE"
"woda_tab_5"							"UNIVERSAL"
"woda_plus_header_name"					"WODA PLUS"
"woda_plus_header_name_description"		"Enhance your gameplay with WODA Plus — a comprehensive toolset that tracks your achievements and helps you level up your favorite heroes, provides useful stats, and additional rewards."
"WodaPlusSubscribeButton"				"SUBSCRIBE"
"pass_reward_1"							"Hero Level-Up Bonus"
"pass_reward_2"							"Access to Quests"
"pass_reward_3"							"Damage Statistics"
"pass_reward_4"							"Coins Bonus for Games"
"pass_reward_1_description"				"Whether you enjoy a wide variety of heroes or just a few you play hundreds of matches with — you'll get 100% more experience for your hero's badge every game."
"pass_reward_2_description"				"Complete quests and earn unique cosmetics, pets, backgrounds, TIPS, and more. Quest progress counts while your WODA Plus subscription is active. You can continue anytime!"
"pass_reward_3_description"				"During and after the game, WODA Plus subscribers receive a battle report including analysis of damage dealt and taken."
"pass_reward_4_description"				"Show your style and speed up item collection for your inventory! You get 100% more coins per game, spendable in the Shop."
"woda_quest_claim_reward"				"Claim"
"woda_quest_claim_reward_sucess"		"Claimed"
"dota_sound_error" "Wheel will be available in:"

"battle_pass_1"					"Battle Pass 2025"
"battle_pass_2"					"Battle Pass 2026"
"button_woda_battlepass"		"Battle Pass"
"woda_battlepass"				"BATTLE PASS 2025"
"woda_battlepass2"				"BATTLE PASS 2026"
"battlepass_level_name"			"LEVEL"
"battlepass_buy_bp_button"		"BUY BATTLE PASS"
"battlepass_information"		"Play and earn coins to level up the Battle Pass and receive additional rewards. <br> + Re-purchasing the Battle Pass will add 49 levels"


"button_top_hero_votes"    "Voting"
"double_tokens_information"    "Double rating tokens."
"shop_button_runes"    "RUNES"
"double_rating_pack"    "Double Rating x10"
"double_rating_pack_description"    "A pack of <font color='#eabe10'>10</font> Double Rating Tokens. Can be used in modes: <br> Rating, Rating 300+ <br> Rating Duo, Rating Duo 300+"
"shop_runes_description"    "Runes give additional bonuses to your hero when playing in Arena mode. Each rune has 3 levels.\nYou can obtain a rune by opening a chest with a random rune."
"shop_player_has_all_runes"    "All runes have already been obtained at max level."
"shop_rune_is_drop"    "RECEIVED:"
"shop_all_runes"    "Total:"
"shop_runes_activated"    "Active: "
"shop_rune_level"    "Level"
"shop_rune_not_active"    "Not obtained"
"rune_chest_item"		"Rune Chest"
"paymethod_choose"		"Choose a payment method"
"payment_choose"		"Select"
		"funpay_choose"			"FunPay"
		"xsolla_choose"			"Xsolla"

"rune_health"          "Health Rune"
"rune_strength"        "Strength Rune"
"rune_regeneration"    "Regeneration Rune"
"rune_giant"           "Giant Rune"
"rune_titan"           "Titan Rune"
"rune_warrior"         "Warrior Rune"
"rune_cast_range"      "Cast Range Rune"
"rune_sentinel"        "Sentinel Rune"
"rune_antimagic"       "Antimagic Rune"
"rune_rebirth"         "Rebirth Rune"
"rune_knight"          "Knight Rune"
"rune_agility"         "Agility Rune"
"rune_evasion"         "Evasion Rune"
"rune_rage"            "Rage Rune"
"rune_monk"            "Monk Rune"
"rune_berserker"       "Berserker Rune"
"rune_hunter"          "Hunter Rune"
"rune_vampire"         "Vampire Rune"
"rune_speed"           "Speed Rune"
"rune_gold"            "Gold Rune"
"rune_sage"            "Sage Rune"
"rune_intellect"       "Intellect Rune"
"rune_restoration"     "Restoration Rune"
"rune_thought"         "Thought Rune"
"rune_curse"           "Curse Rune"
"rune_spell"           "Spell Rune"
"rune_cleansing"       "Cleansing Rune"
"rune_sorcerer"        "Sorcerer Rune"
"rune_barrier"         "Barrier Rune"
"rune_creator"         "Creator Rune"
"rune_replenishment"   "Replenishment Rune"
"rune_time"            "Time Rune"
"rune_radius"          "Radius Rune"

"rune_health_description_0" 		"Health: 10%/20%/30%"
"rune_health_description_1" 		"Health: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_health_description_2" 		"Health: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_health_description_3" 		"Health: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"rune_strength_description_0" 		"Strength: 5%/10%/15%"
"rune_strength_description_1" 		"Strength: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_strength_description_2" 		"Strength: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_strength_description_3" 		"Strength: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_regeneration_description_0" 	"Health Regeneration: 1%/2%/3%"
"rune_regeneration_description_1" 	"Health Regeneration: <b><font color='#eabe10'>1%</font></b>/2%/3%"
"rune_regeneration_description_2" 	"Health Regeneration: 1%/<b><font color='#eabe10'>2%</font></b>/3%"
"rune_regeneration_description_3" 	"Health Regeneration: 1%/2%/<b><font color='#eabe10'>3%</font></b>"

"rune_giant_description_0" 		"Damage Reduction: 5%/10%/15%"
"rune_giant_description_1" 		"Damage Reduction: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_giant_description_2" 		"Damage Reduction: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_giant_description_3" 		"Damage Reduction: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_titan_description_0" 		"Status Resistance: 10%/20%/30%"
"rune_titan_description_1" 		"Status Resistance: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_titan_description_2" 		"Status Resistance: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_titan_description_3" 		"Status Resistance: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"rune_warrior_description_0" 		"Damage: 10%/20%/30%"
"rune_warrior_description_1" 		"Damage: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_warrior_description_2" 		"Damage: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_warrior_description_3" 		"Damage: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

